,1. open,2. high,3. low,4. close,5. volume,interval,increase_decrease,up_down,movement(%),MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV,sentiment_avg_30,"coun_neg, 30","coun_neu, 30","coun_pos, 30",sentiment_avg_60,"coun_neg, 60","coun_neu, 60","coun_pos, 60",sentiment_avg_120,"coun_neg, 120","coun_neu, 120","coun_pos, 120",sentiment_night_before_avg,"count_neg, night_before","count_neu, night_before","count_pos, night_before",sentiment_morning_avg,"count_neg, morning","count_neu, morning","count_pos, morning",day,day compound avg,day positive avg,day negative avg,day neutral avg,two day neutral avg,two day positive avg,two day negative avg,two day compound avg,two day wired compound avg,two day nbc-news compound avg,two day abc-news compound avg,two day reuters compound avg,two day business-insider compound avg,two day the-new-york-times compound avg,two day techcrunch compound avg,two day wired neg avg,two day nbc-news neg avg,two day abc-news neg avg,two day reuters neg avg,two day business-insider neg avg,two day the-new-york-times neg avg,two day techcrunch neg avg,two day wired pos avg,two day nbc-news pos avg,two day abc-news pos avg,two day reuters pos avg,two day business-insider pos avg,two day the-new-york-times pos avg,two day techcrunch pos avg,two day wired neu avg,two day nbc-news neu avg,two day abc-news neu avg,two day reuters neu avg,two day business-insider neu avg,two day the-new-york-times neu avg,two day techcrunch neu avg,one day wired compound avg,one day nbc-news compound avg,one day abc-news compound avg,one day reuters compound avg,one day business-insider compound avg,one day the-new-york-times compound avg,one day techcrunch compound avg,one day wired neg avg,one day nbc-news neg avg,one day abc-news neg avg,one day reuters neg avg,one day business-insider neg avg,one day the-new-york-times neg avg,one day techcrunch neg avg,one day wired pos avg,one day nbc-news pos avg,one day abc-news pos avg,one day reuters pos avg,one day business-insider pos avg,one day the-new-york-times pos avg,one day techcrunch pos avg,one day wired neu avg,one day nbc-news neu avg,one day abc-news neu avg,one day reuters neu avg,one day business-insider neu avg,one day the-new-york-times neu avg,one day techcrunch neu avg
2018-08-24 14:30:00,216.4747,216.485,216.1,216.1,545493,30,-0.37470000000001846,0,-0.17,0.006999999999999999,0.10300000000000001,0.0961,69.0231,72.3702,46.3136,28.3931,34.3582,75.0,25.0,216.1975,216.5151,215.8799,31314570.4346,83844033.0,0.13957096774193545,6.0,13.0,12.0,0.03790016163793099,8.0,13.0,9.5,0.0705882034243295,7.0,11.75,10.5,0.08782975663716805,232.0,295.0,377.0,0.0744508620689655,109.0,179.0,176.0,2018-08-24,-0.9625,0.036500000000000005,0.09300000000000001,0.8700000000000001,0.8708,0.08020000000000001,0.0488,0.20961999999999997,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.09300000000000001,0.01933333333333333,,0.024,,,0.19,0.036500000000000005,0.10933333333333334,,0.113,,,0.723,0.8700000000000001,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.09300000000000001,0.015166666666666662,,0.024,,,0.19,0.036500000000000005,0.08066666666666666,,0.113,,,0.723,0.8700000000000001,0.9041666666666668,,0.8635
2018-08-24 15:00:00,216.11,216.329,216.01,216.175,711771,30,0.06499999999999773,1,0.03,0.0042,0.1014,0.0971,65.0468,70.8833,52.1476,21.5002,-30.0403,50.0,0.0,216.2213,216.5133,215.9292,31339151.8312,84555804.0,0.09075869565217395,13.0,15.0,18.0,0.07893392137096768,8.0,12.5,11.0,0.08949560053222716,7.0,12.0,10.75,0.08782975663716805,232.0,295.0,377.0,0.0744508620689655,109.0,179.0,176.0,2018-08-24,-0.9625,0.036333333333333336,0.09266666666666667,0.8703333333333334,0.8708333333333332,0.07283333333333335,0.05600000000000002,0.014266666666666669,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.09266666666666667,0.01933333333333333,,0.024,,,0.19,0.036333333333333336,0.10933333333333334,,0.113,,,0.723,0.8703333333333334,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.09266666666666667,0.015166666666666662,,0.024,,,0.19,0.036333333333333336,0.08066666666666666,,0.113,,,0.723,0.8703333333333334,0.9041666666666668,,0.8635
2018-08-24 15:30:00,216.19,216.52,215.96,216.18,1935389,30,-0.009999999999990905,0,-0.0,0.0017,0.0993,0.0976,47.5463,60.5387,52.6045,24.514,-27.3856,100.0,0.0,216.2313,216.5141,215.9484,30924335.2156,86491193.0,0.17311538461538464,11.0,25.0,29.0,0.11516483169705465,9.5,14.0,15.0,0.07429642481986298,6.513020833333334,10.283854166666668,10.2421875,0.08782975663716805,232.0,295.0,377.0,0.0744508620689655,109.0,179.0,176.0,2018-08-24,-0.9625,0.036333333333333336,0.09266666666666667,0.8703333333333334,0.8708333333333332,0.07283333333333335,0.05600000000000002,0.014266666666666669,,,0.9468,-0.9625,0.9910333333333332,,0.99385,,,0.087,0.09266666666666667,0.01933333333333333,,0.024,,,0.19,0.036333333333333336,0.10933333333333334,,0.113,,,0.723,0.8703333333333334,0.8713333333333333,,0.8635,,,0.9468,-0.9625,0.9732166666666666,,0.99385,,,0.087,0.09266666666666667,0.015166666666666662,,0.024,,,0.19,0.036333333333333336,0.08066666666666666,,0.113,,,0.723,0.8703333333333334,0.9041666666666668,,0.8635
2018-08-27 09:30:00,217.13,217.71,216.34,216.99,3537070,30,-0.13999999999998636,0,-0.06,0.0509,0.1612,0.1103,52.3502,54.9811,84.5447,38.9459,133.3333,100.0,75.0,216.3613,217.09,215.6325,30743630.8638,90028263.0,0.05827985004512953,8.416666666666666,10.75,10.5,0.061862800771904376,7.973484848484848,10.170454545454545,10.431818181818182,0.06908746177106427,7.231770833333333,10.5234375,10.296875,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.3803073333333333,0.09505333333333334,0.05794666666666666,0.8465533333333333,0.83,0.118,0.051,0.998,0.998,0.9543,0.9503,-0.18802,0.982125,,0.99385,0.051,0.106,0.0775,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.1575,0.046200000000000005,0.095,,0.113,0.83,0.775,0.765,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9503,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.0775,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.1575,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.765,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 10:00:00,217.01,217.75,216.72,217.715,2269075,30,0.7050000000000125,1,0.32,0.1243,0.2656,0.1414,66.7445,55.547,91.4339,49.911,91.8964,100.0,50.0,216.765,218.047,215.483,32858480.5657,92297338.0,-0.04852307692307693,5.0,4.0,4.0,0.061862800771904376,7.973484848484848,10.170454545454545,10.431818181818182,0.06908746177106427,7.231770833333333,10.5234375,10.296875,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.3803073333333333,0.09505333333333334,0.05794666666666666,0.8465533333333333,0.83,0.118,0.051,0.998,0.998,0.9543,0.9503,-0.18802,0.982125,,0.99385,0.051,0.106,0.0775,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.1575,0.046200000000000005,0.095,,0.113,0.83,0.775,0.765,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9503,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.0775,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.1575,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.765,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 10:30:00,217.7069,217.92,217.44,217.92,1419348,30,0.21309999999999718,1,0.1,0.1756,0.3608,0.1852,85.6339,68.2429,92.6663,58.791000000000004,91.992,100.0,25.0,217.2012,218.56799999999998,215.8345,34277828.5657,93716686.0,0.02402592592592592,9.0,10.0,8.0,0.0048783865610263,6.708333333333333,7.375,7.25,0.06908746177106427,7.231770833333333,10.5234375,10.296875,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.3803073333333333,0.09505333333333334,0.05794666666666666,0.8465533333333333,0.83,0.118,0.051,0.998,0.998,0.9543,0.9503,-0.18802,0.982125,,0.99385,0.051,0.106,0.0775,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.1575,0.046200000000000005,0.095,,0.113,0.83,0.775,0.765,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9503,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.0775,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.1575,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.765,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 11:00:00,217.92,218.3,217.8,218.1101,1506784,30,0.19010000000000105,1,0.09,0.209,0.4465,0.2375,96.6431,83.0072,93.7739,66.5901,95.7434,100.0,0.0,217.6838,218.5322,216.8353,34640085.7779,95223470.0,0.07529500000000001,7.0,20.0,13.0,-0.012248575498575505,6.999999999999999,7.0,6.0,0.06908746177106427,7.231770833333333,10.5234375,10.296875,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.3803073333333333,0.09505333333333334,0.05794666666666666,0.8465533333333333,0.83,0.118,0.051,0.998,0.998,0.9543,0.9503,-0.18802,0.982125,,0.99385,0.051,0.106,0.0775,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.1575,0.046200000000000005,0.095,,0.113,0.83,0.775,0.765,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9503,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.0775,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.1575,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.765,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 11:30:00,218.05,218.73,217.76,218.555,1644059,30,0.5049999999999955,1,0.23,0.2452,0.5439,0.2988,94.8542,92.37700000000001,95.7682,73.2418,96.0368,100.0,0.0,218.075,218.6957,217.4543,35690918.014,96867529.0,0.07440454545454549,5.0,10.0,7.0,0.04966046296296297,8.0,15.0,10.5,0.027269424761994634,7.354166666666666,11.1875,8.875,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.3803073333333333,0.09505333333333334,0.05794666666666666,0.8465533333333333,0.83,0.118,0.051,0.998,0.998,0.9543,0.9503,-0.18802,0.982125,,0.99385,0.051,0.106,0.0775,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.1575,0.046200000000000005,0.095,,0.113,0.83,0.775,0.765,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9503,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.0775,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.1575,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.765,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 12:00:00,218.54,218.64,218.36,218.4601,961821,30,-0.07989999999998076,0,-0.04,0.2462,0.6065,0.3603,90.3782,93.9585,87.7725,78.2306,85.0246,75.0,0.0,218.2613,218.7762,217.7464,35416785.9286,95905708.0,0.012033333333333326,7.0,9.0,5.0,0.07484977272727275,6.0,15.0,10.0,0.031300598614348626,6.5,11.0,8.0,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.9826,0.215,0.066,0.72,0.7749999999999999,0.1665,0.0585,0.9903,0.998,0.9543,0.9826,-0.18802,0.982125,,0.99385,0.051,0.106,0.066,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.215,0.046200000000000005,0.095,,0.113,0.83,0.775,0.72,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9826,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.066,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.215,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.72,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 12:30:00,218.48,218.48,217.971,218.29,870619,30,-0.18999999999999773,0,-0.09,0.2198,0.6351,0.4153,81.7137,88.98200000000001,73.1714,65.5415,-21.1177,50.0,0.0,218.3538,218.6933,218.0143,35637429.041999996,95035089.0,0.12117000000000003,5.0,14.0,11.0,0.043218939393939414,6.0,9.5,6.0,0.0464397011784512,7.0,12.25,8.25,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.9826,0.215,0.066,0.72,0.7749999999999999,0.1665,0.0585,0.9903,0.998,0.9543,0.9826,-0.18802,0.982125,,0.99385,0.051,0.106,0.066,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.215,0.046200000000000005,0.095,,0.113,0.83,0.775,0.72,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9826,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.066,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.215,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.72,0.8931666666666667,0.9041666666666668,,0.8635
2018-08-27 13:00:00,218.295,218.31,218.0201,218.1,600278,30,-0.19499999999999318,0,-0.09,0.1759,0.6351,0.4593,62.5053,78.1991,58.6437,56.0247,-97.7394,25.0,25.0,218.3513,218.69799999999998,218.0045,35368079.6073,94434811.0,0.07258749999999999,9.0,8.0,15.0,0.06660166666666667,6.0,11.5,8.0,0.07072571969696972,6.0,13.25,9.0,0.043481267605633804,211.0,264.0,235.0,0.024945199063231855,127.0,155.0,145.0,2018-08-27,0.9826,0.215,0.066,0.72,0.7749999999999999,0.1665,0.0585,0.9903,0.998,0.9543,0.9826,-0.18802,0.982125,,0.99385,0.051,0.106,0.066,0.06480000000000001,0.017249999999999998,,0.024,0.118,0.119,0.215,0.046200000000000005,0.095,,0.113,0.83,0.775,0.72,0.8886,0.88775,,0.8635,0.06674999999999998,0.9543,0.9826,0.005599999999999994,0.9732166666666666,,0.99385,0.07400000000000001,0.106,0.066,0.05783333333333333,0.015166666666666662,,0.024,0.0985,0.119,0.215,0.04866666666666666,0.08066666666666666,,0.113,0.8265,0.775,0.72,0.8931666666666667,0.9041666666666668,,0.8635
